spleen-down	liver-down
MSTRG.54155	
MSTRG.40970	
MSTRG.16247	
MSTRG.45112	
MSTRG.2728	
MSTRG.22746	
MSTRG.32442	
MSTRG.52865	
MSTRG.16180	
MSTRG.42098	
MSTRG.51014	
MSTRG.44282	
MSTRG.28228	
MSTRG.32655	
MSTRG.7431	
MSTRG.33026	
MSTRG.25577	
MSTRG.10484	
MSTRG.23653	
MSTRG.44095	
MSTRG.45178	
MSTRG.34325	
MSTRG.32731	
.	
MSTRG.12722	
MSTRG.32444	
MSTRG.14719	
MSTRG.45107	
MSTRG.44930	
MSTRG.17045	
MSTRG.54432	
MSTRG.5694	
MSTRG.32159	
MSTRG.31306	
MSTRG.31579	
MSTRG.2851	
MSTRG.28409	
MSTRG.49596	
MSTRG.29979	
MSTRG.42303	
MSTRG.1995	
MSTRG.55526	
MSTRG.9734	
MSTRG.37717	
MSTRG.50464	
MSTRG.45115	
MSTRG.34982	
MSTRG.2841	
MSTRG.15454	
MSTRG.42775	
MSTRG.50442	
MSTRG.31237	
MSTRG.54189	
MSTRG.11241	
MSTRG.1984	
MSTRG.26960	
MSTRG.43107	
MSTRG.50448	
MSTRG.30712	
MSTRG.41653	
MSTRG.40152	
MSTRG.4010	
MSTRG.16677	
MSTRG.15999	
MSTRG.5307	
MSTRG.41724	
MSTRG.5185	
MSTRG.14628	
MSTRG.48547	
MSTRG.36104	
MSTRG.24484	
MSTRG.26619	
MSTRG.2722	
MSTRG.43748	
MSTRG.15710	
MSTRG.25534	
MSTRG.47530	
MSTRG.2015	
MSTRG.43180	
MSTRG.33763	
MSTRG.1863	
MSTRG.26891	
MSTRG.9297	
MSTRG.2826	
MSTRG.21541	
MSTRG.52100	
MSTRG.28460	
MSTRG.36237	
MSTRG.29864	
MSTRG.44154	
MSTRG.28383	
MSTRG.4928	
MSTRG.9203	
MSTRG.23287	
MSTRG.51862	
MSTRG.23965	
MSTRG.50441	
MSTRG.38378	
MSTRG.22778	
MSTRG.48575	
MSTRG.38354	
MSTRG.55439	
MSTRG.5311	
MSTRG.17041	
MSTRG.52020	
MSTRG.39343	
MSTRG.47652	
MSTRG.52587	
MSTRG.46995	
MSTRG.49667	
MSTRG.6010	
MSTRG.14422	
MSTRG.50840	
MSTRG.10363	
MSTRG.52511	
MSTRG.32153	
MSTRG.15892	
MSTRG.25171	
MSTRG.19154	
MSTRG.44660	
MSTRG.33706	
MSTRG.23603	
MSTRG.52056	
MSTRG.42199	
MSTRG.42166	
MSTRG.50180	
MSTRG.34547	
MSTRG.36539	
MSTRG.22785	
MSTRG.2828	
MSTRG.19079	
MSTRG.51680	
MSTRG.30606	
MSTRG.32898	
MSTRG.276	
MSTRG.26502	
MSTRG.45905	
MSTRG.2009	
MSTRG.54174	
MSTRG.51062	
MSTRG.33063	
MSTRG.12508	
MSTRG.46345	
MSTRG.14929	
MSTRG.37165	
MSTRG.2855	
MSTRG.38381	
MSTRG.41671	
MSTRG.40975	
MSTRG.29877	
MSTRG.20667	
MSTRG.25208	
MSTRG.901	
MSTRG.23553	
MSTRG.29724	
MSTRG.33820	
MSTRG.683	
MSTRG.54160	
MSTRG.11240	
MSTRG.46980	
MSTRG.53987	
MSTRG.24632	
MSTRG.32150	
MSTRG.23373	
MSTRG.52097	
MSTRG.14933	
MSTRG.2011	
MSTRG.8746	
MSTRG.52247	
MSTRG.25594	
MSTRG.10369	
MSTRG.25541	
MSTRG.9477	
MSTRG.55523	
MSTRG.648	
MSTRG.19221	
MSTRG.48630	
MSTRG.43155	
MSTRG.9032	
MSTRG.28449	
MSTRG.18261	
MSTRG.8741	
MSTRG.41813	
MSTRG.49972	
MSTRG.40407	
MSTRG.31677	
MSTRG.41505	
MSTRG.44885	
MSTRG.51994	
MSTRG.9278	
MSTRG.8740	
MSTRG.15474	
MSTRG.20362	
MSTRG.41673	
MSTRG.21484	
MSTRG.38459	
MSTRG.52065	
MSTRG.2013	
MSTRG.26093	
MSTRG.39525	
MSTRG.24207	
MSTRG.53648	
MSTRG.48550	
MSTRG.24250	
MSTRG.6348	
MSTRG.17530	
MSTRG.45868	
MSTRG.30609	
MSTRG.32775	
MSTRG.3130	
MSTRG.35796	
MSTRG.25546	
MSTRG.43753	
MSTRG.13331	
MSTRG.30014	
MSTRG.23801	
MSTRG.8734	
MSTRG.628	
MSTRG.46216	
MSTRG.624	
MSTRG.15295	
MSTRG.22191	
MSTRG.3799	
MSTRG.10366	
MSTRG.30608	
MSTRG.32720	
MSTRG.2823	
MSTRG.19092	
MSTRG.19002	
MSTRG.38394	
MSTRG.32690	
MSTRG.50332	
MSTRG.47210	
MSTRG.17959	
MSTRG.47704	
MSTRG.21877	
MSTRG.52076	
MSTRG.15010	
MSTRG.3725	
MSTRG.8143	
MSTRG.40614	
MSTRG.4921	
MSTRG.52095	
MSTRG.14935	
MSTRG.24997	
MSTRG.34397	
MSTRG.42492	
MSTRG.34157	
MSTRG.53777	
MSTRG.9179	
MSTRG.41111	
MSTRG.3012	
MSTRG.42461	
MSTRG.28891	
MSTRG.42489	
MSTRG.36708	
MSTRG.19216	
MSTRG.858	
MSTRG.12451	
MSTRG.54167	
MSTRG.1988	
MSTRG.13881	
MSTRG.14596	
MSTRG.31534	
MSTRG.30288	
MSTRG.50764	
MSTRG.18551	
MSTRG.41612	
MSTRG.43758	
MSTRG.14949	
MSTRG.34190	
MSTRG.54192	
MSTRG.25290	
MSTRG.14948	
MSTRG.22772	
MSTRG.3161	
MSTRG.19704	
MSTRG.33989	
MSTRG.19216	
MSTRG.54159	
MSTRG.32736	
MSTRG.8704	
MSTRG.13742	
MSTRG.6640	
MSTRG.38000	
MSTRG.52103	
MSTRG.1998	
MSTRG.16013	
MSTRG.43363	
MSTRG.2138	
MSTRG.2822	
MSTRG.933	
MSTRG.16882	
MSTRG.51189	
MSTRG.29481	
MSTRG.21479	
MSTRG.47759	
MSTRG.2269	
MSTRG.2750	
MSTRG.34326	
MSTRG.2149	
MSTRG.13590	
MSTRG.54186	
MSTRG.52099	
MSTRG.2016	
MSTRG.52601	
MSTRG.49794	
MSTRG.8745	
MSTRG.27856	
MSTRG.28882	
MSTRG.2022	
MSTRG.7580	
MSTRG.52702	
MSTRG.41828	
MSTRG.3331	
MSTRG.16672	
MSTRG.49676	
MSTRG.54587	
MSTRG.578	
MSTRG.43945	
MSTRG.1580	
MSTRG.2007	
MSTRG.22518	
MSTRG.18886	
MSTRG.18416	
MSTRG.5974	
MSTRG.27587	
MSTRG.2853	
MSTRG.13595	
MSTRG.9318	
MSTRG.892	
MSTRG.44197	
MSTRG.22851	
MSTRG.1476	
MSTRG.29296	
MSTRG.31836	
MSTRG.2837	
MSTRG.23753	
MSTRG.38380	
MSTRG.3085	
MSTRG.19794	
MSTRG.49742	
MSTRG.46340	
MSTRG.25158	
MSTRG.7930	
MSTRG.32291	
MSTRG.29004	
MSTRG.17040	
MSTRG.47848	
MSTRG.8563	
MSTRG.45240	
MSTRG.49797	
MSTRG.6939	
MSTRG.52596	
MSTRG.39729	
MSTRG.51845	
MSTRG.51188	
MSTRG.20813	
MSTRG.26083	
MSTRG.52610	
MSTRG.3774	
MSTRG.2850	
MSTRG.26776	
MSTRG.1580	
MSTRG.43104	
MSTRG.40293	
MSTRG.12797	
MSTRG.8179	
MSTRG.54383	
MSTRG.17038	
MSTRG.48605	
MSTRG.7653	
MSTRG.10372	
MSTRG.23542	
MSTRG.42738	
MSTRG.55670	
MSTRG.4690	
MSTRG.8737	
MSTRG.31838	
MSTRG.425	
MSTRG.1724	
MSTRG.50109	
MSTRG.37163	
MSTRG.46220	
MSTRG.40302	
MSTRG.27034	
MSTRG.39334	
MSTRG.40290	
MSTRG.28451	
MSTRG.31796	
MSTRG.2474	
MSTRG.30313	
MSTRG.52607	
MSTRG.51352	
MSTRG.51101	
MSTRG.55185	
MSTRG.48071	
MSTRG.26087	
MSTRG.879	
MSTRG.35066	
MSTRG.30577	
MSTRG.29649	
MSTRG.16308	
MSTRG.41926	
MSTRG.36622	
MSTRG.41083	
MSTRG.18371	
MSTRG.18142	
MSTRG.41716	
MSTRG.36619	
MSTRG.47690	
MSTRG.625	
MSTRG.37997	
MSTRG.20993	
MSTRG.7579	
MSTRG.52119	
MSTRG.11253	
MSTRG.3011	
MSTRG.2723	
MSTRG.22123	
MSTRG.31839	
MSTRG.44857	
MSTRG.48194	
MSTRG.18531	
MSTRG.44965	
MSTRG.8739	
MSTRG.50	
MSTRG.28458	
MSTRG.3419	
MSTRG.51745	
MSTRG.893	
MSTRG.23803	
MSTRG.5828	
MSTRG.1679	
MSTRG.32190	
MSTRG.2842	
MSTRG.6605	
MSTRG.46283	
MSTRG.15296	
MSTRG.39753	
MSTRG.5312	
MSTRG.49441	
MSTRG.33944	
MSTRG.40511	
MSTRG.52093	
MSTRG.15676	
MSTRG.29231	
MSTRG.19216	
MSTRG.32132	
MSTRG.43356	
MSTRG.26080	
MSTRG.32152	
MSTRG.22771	
MSTRG.5756	
MSTRG.43178	
MSTRG.39145	
MSTRG.37161	
MSTRG.28495	
MSTRG.46505	
MSTRG.29004	
MSTRG.3218	
MSTRG.38680	
MSTRG.22029	
MSTRG.3772	
MSTRG.52593	
MSTRG.3216	
MSTRG.2729	
MSTRG.49386	
MSTRG.1864	
MSTRG.19216	
MSTRG.13234	
MSTRG.879	
MSTRG.6916	
MSTRG.37204	
MSTRG.9628	
MSTRG.895	
MSTRG.51291	
MSTRG.46540	
MSTRG.14363	
