OG	Coleoptera	Diptera	Hymenoptera	Lepidoptera	Siphonaptera	coreColeoptera	coreDiptera	coreHymenoptera	coreLepidoptera	coreSiphonaptera	numOfOrths	orthsPerTaxon	uniqueTaxa
ORTHOMCL562	1	1	1	1	1	yes	yes	yes	yes	yes	14	0.27	51
ORTHOMCL563	1	1	1	1	1	yes	yes	yes	yes	yes	14	0.29	48
ORTHOMCL564	1	1	1	1	1	yes	yes	yes	yes	yes	16	0.33	49
ORTHOMCL565	1	1	1	1	1	yes	yes	yes	yes	yes	25	0.49	51
ORTHOMCL566	1	1	1	0	1	yes	yes	yes	no	yes	12	0.26	46
ORTHOMCL567	1	1	1	1	1	yes	yes	yes	yes	yes	22	0.44	50
ORTHOMCL568	0	1	1	1	1	no	yes	yes	yes	yes	16	0.36	44
ORTHOMCL569	1	1	1	1	1	yes	yes	yes	yes	yes	17	0.35	48
ORTHOMCL570	1	1	1	1	1	yes	yes	yes	yes	yes	16	0.31	51
ORTHOMCL571	1	1	1	1	1	yes	yes	yes	yes	yes	20	0.39	51
ORTHOMCL572	1	1	1	1	1	yes	yes	yes	yes	yes	17	0.35	49
ORTHOMCL573	1	0	1	0	0	yes	no	yes	no	no	14	0.82	17
ORTHOMCL574	1	0	1	1	1	yes	no	yes	yes	yes	14	0.38	37
