OG	Coleoptera	Diptera	Hymenoptera	Lepidoptera	Siphonaptera	coreColeoptera	coreDiptera	coreHymenoptera	coreLepidoptera	coreSiphonaptera	numOfOrths	orthsPerTaxon	uniqueTaxa
ORTHOMCL210	1	1	1	0	1	yes	yes	yes	no	yes	237	6.24	38
ORTHOMCL211	1	1	1	1	1	no	no	no	yes	yes	237	5.92	40
ORTHOMCL212	1	1	1	1	1	yes	yes	yes	yes	yes	236	4.63	51
ORTHOMCL213	1	1	1	1	1	yes	yes	yes	yes	yes	235	4.61	51
ORTHOMCL214	1	1	1	1	1	yes	yes	yes	yes	yes	235	4.61	51
ORTHOMCL215	1	1	1	1	1	yes	yes	no	yes	yes	235	5.22	45
ORTHOMCL216	1	1	1	1	1	yes	no	yes	yes	yes	235	4.70	50
ORTHOMCL217	1	1	1	0	1	yes	yes	no	no	yes	235	6.53	36
ORTHOMCL218	1	1	1	1	1	yes	yes	yes	no	yes	234	4.68	50
ORTHOMCL219	1	1	1	1	1	no	yes	yes	yes	yes	234	4.68	50
ORTHOMCL220	1	1	1	1	1	yes	no	yes	no	yes	234	4.78	49
ORTHOMCL221	1	1	1	1	0	no	no	yes	no	no	234	6.00	39
ORTHOMCL222	1	1	1	1	1	no	no	yes	yes	yes	234	5.57	42
ORTHOMCL223	1	1	1	1	1	no	no	no	yes	yes	234	5.20	45
ORTHOMCL224	1	1	1	1	1	no	yes	no	yes	yes	233	4.76	49
ORTHOMCL225	1	1	1	1	1	yes	yes	no	yes	yes	232	4.64	50
ORTHOMCL226	1	1	1	1	0	no	no	no	no	no	232	10.55	22
ORTHOMCL227	1	1	1	1	1	no	yes	no	no	yes	231	5.78	40
ORTHOMCL228	1	1	1	1	0	no	no	no	yes	no	231	9.62	24
ORTHOMCL229	1	1	1	1	1	yes	yes	yes	yes	yes	230	4.51	51
ORTHOMCL230	1	1	1	1	1	yes	yes	yes	yes	yes	230	4.51	51
ORTHOMCL231	1	1	1	1	1	yes	yes	yes	yes	yes	230	4.51	51
ORTHOMCL232	1	1	1	1	1	yes	no	no	no	yes	229	5.72	40
ORTHOMCL233	1	1	1	1	1	yes	yes	yes	yes	yes	229	4.49	51
ORTHOMCL234	1	1	1	1	1	no	no	no	yes	yes	229	6.94	33
ORTHOMCL235	1	1	1	1	1	yes	yes	yes	no	yes	228	4.56	50
ORTHOMCL236	1	1	1	1	1	yes	yes	yes	yes	yes	227	4.45	51
ORTHOMCL237	1	1	1	1	1	no	no	yes	no	yes	227	5.97	38
ORTHOMCL238	1	0	1	1	1	no	no	yes	yes	yes	226	6.65	34
ORTHOMCL239	1	1	1	1	1	yes	yes	yes	yes	yes	226	4.43	51
ORTHOMCL240	1	1	1	1	1	no	no	yes	yes	yes	225	4.69	48
ORTHOMCL241	1	1	1	1	1	yes	yes	yes	yes	yes	225	4.41	51
ORTHOMCL242	1	1	0	1	0	no	no	no	yes	no	224	10.18	22
ORTHOMCL243	1	1	1	1	1	yes	yes	yes	yes	yes	224	4.39	51
ORTHOMCL244	1	1	1	1	1	yes	yes	yes	yes	yes	224	4.39	51
ORTHOMCL245	1	1	1	1	1	yes	yes	yes	yes	yes	223	4.37	51
ORTHOMCL246	0	1	0	1	0	no	no	no	yes	no	223	12.39	18
